 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
2220332,202503,1801-2400,ZZZ.Airport,US,,,,3300,,,,,,,,TRACON ZZZ,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Final Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,,,,2220332,Aircraft X,,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,,,,2220745,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),Horizontal 20,,Person Flight Crew,In-flight,Flight Crew Requested ATC Assistance / Clarification,Human Factors,Human Factors,"On approach to RXXC in ZZZ; approach control advised there was unauthorized drone use in the area. We were trying to ascertain how long ago the report was made when I observed a drone pass just left of the aircraft; approximately 20 feet from our left wing. We reported this immediately to ATC; including our altitude of 3;300 FT MSL. We were established on the ILS to XXC. After landing ATC had us make a phone call to tower. The drone appeared to be a relatively large quadcopter; gray or silver; and 4-5 feet in diameter. The incident happened too quickly to take any evasive maneuvers.",,"Encounter with a Drone on Final approachNear miss with a drone on final. I was the PF and my FO saw and voiced the drone when observed.  I looked up for my instruments and saw the drone out my front left window at eye level.  I saw it pass by off the left approaching the wing. We did not hear any noise or felt any collision.  I did not take evasive measures as the aircraft was still on autopilot.  We were between 3300 and 3500 MSL. We did hear and were told about drone activity closer to the runway.  After landing we called the tower as requested to give further information.  The only details of the drone we could give was it was larger than a typical personal drone. It looked grayish in color but not sure due to the sun and reflection. The FO said it looked home built and size was 3 to 5 feet and looked to be a quad.   The FO inspected the aircraft and did not observe any damage.",,"Air carrier flight crew reported an NMAC with a UAS during approach. No evasive action was taken.",
2220564,202503,1201-1800,ZZZ.Airport,US,,,,,,VMC,,,,,,,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,,Passenger,,Descent,STAR ZZZZZ,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 152.98; Flight Crew Type 742.77,,,,,2220564,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 115.28; Flight Crew Type 115.28,,,,,2220573,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),Horizontal 5,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors,Human Factors,"During descent; on vectors on the ZZZZZ arrival; we were issued a clearance to descend from 6000 to 5000 feet. We saw what appeared to be a fairly large drone at our 11:30 position and closing rapidly towards the aircraft. I disconnected the auto pilot; made a bank turn to the right and ducked my head under the glareshield because I thought the object was going to hit the aircraft. I estimate that the aircraft missed the drone by approximately 5 to 10 feet off the left side of the aircraft. We leveled out at 5000 feet; the auto pilot was then reengaged. The drone appeared to be approximately 3 feet wide; had red and green lights. The drone appeared in the shape of an "X" and appeared to have rotors. We then proceeded on vectors and landed at ZZZ airport with no further action. After the parking checklist was completed; I notified the Chief Pilot of the incident and made an Electronic Log Book (ELB) entry to have maintenance perform a walk around inspection with me to ensure that the drone had not hit the aircraft. No damage was observed after the walk around with airline maintenance personnel.",,"A near miss with a small size drone.",,"Air carrier flight crew reported an NMAC with a UAS during descent. The Captain took evasive action to avoid a possible collision with the UAS.",
2220575,202503,,IAH.Airport,TX,,,,1700,,VMC,,,,,,,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,,Passenger,,Final Approach,Visual Approach,Class B IAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B IAH,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 75.08; Flight Crew Type 772.53,,,,,2220575,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 168.53; Flight Crew Type 988.27,,,,,2220600,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),Vertical 50,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"On approach into IAH-established on the visual approach Rwy 27; we noticed a drone with a red light right above the flight deck. The drone was rising above us as we were descending and as no further conflict existed after the encounter; an uneventful approach and landing followed. The position was approx 6-7 miles out around 1700ft. ATC was promptly notified to help following aircraft. Report filed; Chief Pilot and dispatcher verbally debriefed.",,"At approximately 7 mile final at 1700' on a visual approach to Rwy 27 at IAH I witnessed what appeared to be a drone pass just overhead down the left side of the aircraft within approximately 50 to 100 feet.  It was spotted too late to attempt any maneuver to avoid.  It was night; type and size unknown but it had a red flashing light. It was appropriately reported via captain report and a call to dispatch and Chief Pilot.",,"Air carrier flight crew reported an NMAC with a UAS during approach. No evasive action was taken.",
2220725,202503,0601-1200,ZZZ.Airport,US,,,,,,,,,,,,TRACON ZZZ,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Initial Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,Aircraft / UAS; Airport / Aerodrome / Heliport,,,,Aircraft X,,Air Carrier,First Officer; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Type 219,,,,,2220725,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,Horizontal 50,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification,Human Factors; Airspace Structure,Human Factors,"During operation of Aircraft X ZZZ1-ZZZ on Day 0 we encountered a drone in close proximity to an assigned altitude while being vectored by ATC ZZZ Approach. I was Pilot Flying; once we reached the assigned 4000MSL the Captain spotted the drone on his side of the aircraft and immediately communicated it to me and then reported it to ATC. The Captain reported being within 50ft of the drone. ATC amended assigned altitudes for traffic following us; advising other aircraft of the conflict. Due to the location in relation to me I did not have a visual on the drone. We continued with ZZZ Approach for vectors to final and safely proceeded to land at ZZZ.  Cause: Unplanned or unauthorized drone activity at altitudes and in proximity to aircraft being vectored to the approach course at ZZZ. Suggestions: Continuous scanning which the Captain used to detect the object. Also communication which again the Captain used to make me aware of the drone as well as ATC.",,,,"Air carrier First Officer reported an NMAC with a UAS during initial approach. No evasive action was taken.",
2220885,202503,0601-1200,,,,,704,,,VMC,15,,Daylight,CLR,,,Government,DJI M30T,,1,Part 107,None,Training,,Climb,,,,,,,,,,,,,,N,,,Small,Multi-Rotor,VLOS,N,Manual Control,Private Property,,Purchased,Number of UAS 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Government,Remote PIC (UAS); Person Manipulating Controls (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 2; Flight Crew Total 0; Flight Crew Total (UAS) 5; Flight Crew Type (UAS) 2,,Situational Awareness; Training / Qualification,,,2220885,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person UAS Crew,Other Post-flight,General None Reported / Taken,Human Factors; Chart Or Publication,Ambiguous,"Flying a training mission. New to 107 and flying this UAS. Misunderstood previous instruction from another pilot and flew too high while attempting to take pictures of objective. Spoke with other pilot who corrected misconception and educated on limits.",,,,"Government UAS pilot reported exceeding authorized altitude during a flight.",
2221432,202503,1201-1800,CXO.Airport,TX,296,4.2,,1200,,VMC,10,,Daylight,,,,FBO,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,2,Part 91,None,Training,,Cruise,Visual Approach,Class D CXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,,,,,,,,Class D CXO,,,,,,,,,,,,,,,,,,,,Aircraft / UAS; Airport / Aerodrome / Heliport,,,,Aircraft X,Flight Deck,FBO,Instructor; Pilot Not Flying,Flight Crew Flight Instructor; Flight Crew Commercial; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 50; Flight Crew Total 510; Flight Crew Type 480,,Time Pressure,,,2221432,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),Horizontal 20; Vertical 5,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors,Human Factors,"Shortly after entering the CXO airport's class D airspace; flying southbound directly over the highway I-45 on the left edge of the airspace; while my student had the controls of the airplane; I noticed a dark object through the windshield slightly to the left and seemingly level with our flight path. It initially looked like a bird and we assumed it would fly out of the way. As we continued forward shortly after; we noticed that it was a dark black drone with white markings on the top and four propellers. I called it out and my student turned slightly to the right to avoid contact with drone. We were flying at 1200ft MSL inside class D airspace and came extremely close to colliding with said drone; however with slight evasive action were able to avoid collision. The drone came within 15-20ft of our wing strut; at level altitude with our plane.",,,,"Flight Instructor with student reported an NMAC with a UAS during cruise flight. The student pilot took evasive action to avoid possible collision with the UAS.",
2222454,202503,1801-2400,DEN.Airport,CO,,,,7000,,VMC,,,,,,TRACON D01,Air Carrier,Widebody; Low Wing; 2 Turbojet Eng,,2,,,Passenger,Localizer/Glideslope/ILS ILS 35R,Initial Approach,,Class B DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B DEN,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 141.48; Flight Crew Total 6361.35; Flight Crew Type 607.92,,,,,2222454,,,,,,,,,,,,Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,,,Automation Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert,Human Factors,Human Factors,"On downwind to Runway 35R; Approach reported UAV activity at 9000' 10 mile south of runway. We were descending on downwind to 8000' to intercept localizer but never saw UAV. Uneventful landing on 35R.",,,,"Air carrier Captain reported Approach Control alerted the crew of a UAS in the approach path. The Captain never encountered the UAS.",
2223207,202503,1801-2400,,NJ,,,,3000,,,,,Daylight,,,TRACON ZZZ,Personal,Small Aircraft,,1,Part 91,None,Personal,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft / UAS,,,,Aircraft X,Flight Deck,Personal,Single Pilot,Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 64.4; Flight Crew Total 364.9; Flight Crew Type 31.4,,,,,2223207,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 0; Vertical 100,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"While in cruise; a drone passed about 100 feet beneath the aircraft. No evasive action was required to avoid the drone. The drone was a little smaller than the aircraft (small aircraft). The drone was triangle shaped and silver/ white in color. There were no visible lights on it. The drone was heading opposite the flight path. This was reported to ZZZ Approach.Flight visibility was unrestricted with clear skies. Negative turbulence.",,,,"Small aircraft pilot reported an NMAC with a UAS during cruise flight. No evasive action was taken.",
2223224,202503,1201-1800,ZLA.ARTCC,CA,,,,18000,,,,,,,,Center ZLA,Air Carrier,Large Transport,,2,Part 121,IFR,Cargo / Freight / Delivery,,Descent,Oceanic,Class A ZLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Military,UAV: Unpiloted Aerial Vehicle,,,,IFR,Training,,Cruise,,Class A ZLA,,,,,,,,,,,,,,,,,,,,,,,,Facility ZLA.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 8,,Communication Breakdown,,Party1 Other; Party2 ATC,2223224,,,,,,,,,,,,ATC Issue All Types; Airspace Violation All Types; Conflict Airborne Conflict,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert,Human Factors; Procedure; Airspace Structure,Procedure,"I was working ZLA Sector XX/XY combined. The Military had taken the Ocean to a configuration that leaves us with one control extension to work all planes into and out of Southern California to/from the Pacific Ocean. South of this only control extension is W291; controlled by Fleet Area Control and Surveillance Facility (FACSFAC) San Diego. FACSFAC was working a Drone right on the border of their airspace and Sector XY; and never called me with any kind of Point Out; Coordination; or Whisky Alert. The Drone indicated FL186. Aircraft X was descending out of FL190 to cross GOATZ at 160; when it started flashing conflict alert with this Drone that was now violating my airspace; in direct conflict with Aircraft X. I keyed up to give Aircraft X a traffic alert. This control extension is so narrow that vectoring Aircraft X is not possible without violating Warning airspace on either side. Taking ZLA down to 1 Control Extension; where all traffic into and out of SoCal from the Pacific Ocean is Climb and Dive in a narrow extension that we cannot vector in is already unsafe. Allowing the military to run drones right on the border of this airspace; when they have thousands of miles of open airspace; is ludicrous. There will be a collision one day between a passenger jet and a Navy Operation if this does not change; and the quality of 'controller' at FACSFAC allowed to work by themselves does not improve. FACSFAC needs to be held to a much higher standard; and make pointouts on aircraft that are going to enter my airspace. Luck is the only reason that Aircraft X did not crash into this drone.",,,,"A Center Controller reported a military drone spilled out of Special Use Airspace and caused a conflict with a descending air carrier. Controller expressed concern that operation of drones near the Control Extension is unsafe and could result in a collision.",
2223564,202503,1801-2400,ZZZ.Airport,US,,9,15,,,,10,,Night,CLR,,,Government,DJI M30T,,3,Part 107,,Public Safety / Pursuit (UAS),,Takeoff / Launch,,,,,,,,,,,,,,N,,,Small,Multi-Rotor,VLOS,Y,Manual Control,Emergency Services; Open Space / Field,,,Number of UAS 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government,Other / Unknown,Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 9; Flight Crew Total (UAS) 58; Flight Crew Type (UAS) 31,,,,,2223564,,,,,,,,,,,,Inflight Event / Encounter Object,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged,Human Factors; Environment - Non Weather Related,Ambiguous,"One of our Deputy Pilots was assisting another agency with the tracking of a suspect who ran into a wooded area. The area was a dark; mountainous area; with tall trees. The Deputy observed power poles in the area and tracked what he believed to be the only power lines in the launch area. The Deputy began his launch and began to ascend. The UAS was about 15 feet off the ground when it struck a power line. The power line arced and sparked. The UAS fell to the ground and was completely destroyed. There were no injuries or damage to other property other than the drone. The Deputy had a visual observer working in coordination; but the power line was not visible until after a flashlight was pointed toward the area post collision. All UAS operator flight experience is based on the deputies experience and hours of operation and not the reporter's. The reporter was not at the scene of the incident and is only recording the incident.","Reporter stated they were not involved in the event and that there was no damage to any property other than the UAS.",,,"Part 107 UAS pilot reported that the UAS team inadvertently crashed the UAS into power lines during a nighttime operation. Only the UAS was damaged in the impact.",
2224634,202502,1201-1800,CWF.Airport,LA,,1.13,100,,,,2,,Daylight,CLR,,,Commercial Operator (UAS),Small UAS (At or above 0.55 lbs and less than 55 lbs),,,Part 107,,Utility / Infrastructure,,Cruise,,Class D CWF,,,,,,,,,,,,N,,Standard,Small,Multi-Rotor,VLOS,Y,Manual Control,Critical Infrastructure; Airport / Aerodrome / Heliport,,,Number of UAS 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commercial Operator (UAS),Other / Unknown,Flight Crew Remote Pilot (UAS),,,,,,2224634,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,,,General None Reported / Taken,Human Factors,Human Factors,"Airspace Incursion / Excursion",,,,"Part 107 UAS pilot reported an airspace violation.",
2224762,202503,1201-1800,LAX.Airport,CA,,,,4000,,VMC,,,,,,,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,Localizer/Glideslope/ILS ILS 25L,Final Approach,,Class B LAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B LAX,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 124.77; Flight Crew Type 1293.08,,,,,2224762,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),Horizontal 0; Vertical 20,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"While descending through approximately 4000 feet on the ILS 25L LAX  an unmanned drone (approximate size about 2-3 feet)  passed just left of the Captain's windshield approximately 20 feet above aircraft's altitude. We were slowing through 210 Kts and the drone was flying eastbound at a pretty quick speed.  We only caught sight of it as it was close to the aircraft and it was gone before we could really  get a good view of it.  There was no time to maneuver to avoid it if needed and if it had had collided with our windshield it wouldn't have been pretty.",,,,"Air carrier Captain reported an NMAC on final approach with a UAS. No evasive action was taken.",
2224768,202503,1201-1800,BDL.Airport,CT,,,,12000,,VMC,,,,,,,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 217.48; Flight Crew Type 4604.05,,,,,2224768,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"While at cruise we passed a drone at very close range.  It was just off and slightly below our right wing.  Its size was approximately 2ft x 2ft; square shaped.",,,,"Air carrier Captain reported an NMAC with a UAS during cruise flight. No evasive action was taken.",
2224780,202503,1201-1800,IGN.VOR,NY,,,,12000,,VMC,,,,,,,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,3,Part 121,IFR,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft / UAS,,,,Aircraft X,,Air Carrier,First Officer; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 166.12; Flight Crew Type 1086.08,,,,,2224780,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),Vertical 200,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"We were at 12;000 ft.; slowed down to 250 knots. Conditions were into the sun; scattered clouds above us. I was pilot flying. This occurred between Nelie Intersection and IGN VOR.We were flying along; at the corner of my eye I saw what appeared to be a large black object approx. at my 1-2 o'clock position. Something like a large black bird you generally see at low attitudes sometimes. I go "hey look! What is that! That's a drone!!"We all quickly glance over and see this triangular object; with a distinct reflection probably from the sun angle. And it appeared to be large as we go by it. It was slightly below altitude; I would consider this a close miss. Within a couple hundred feet. No lights on the object.I turn around and look at the crew and I'm like "you guys saw that correct?" All 3 of us did.Now what's interesting is that particular area is a low populated area. No military bases close by.",,,,"Air carrier First Officer reported an NMAC with a UAS at 12;000 feet. No evasive action was taken.",
2225749,202503,0001-0600,ZZZ.Airport,US,,12.70,15,,,VMC,10,Excessive Wind (UAS),Night,CLR,,,Government,DJI Mavic 3,,1,Part 91,None,Training,,Takeoff / Launch,,,,,,,,,,,,,,Y,91,,Small,Multi-Rotor,VLOS,Y,Manual Control,,,Purchased,Number of UAS 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Government,Person Manipulating Controls (UAS); Remote PIC (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 1.50; Flight Crew Total (UAS) 12.50; Flight Crew Type (UAS) 4.50,,Troubleshooting; Situational Awareness,,,2225749,,,,,,,,,,,,Inflight Event / Encounter Object; Inflight Event / Encounter Weather / Turbulence,,,Person UAS Crew,In-flight,Aircraft Aircraft Damaged,Weather; Procedure; Environment - Non Weather Related; Software and Automation,Ambiguous,"Pilot started up propellers of the UAS; began to ascend into the air; a gust of wind moved the aircraft toward a parked car; aircraft struck the car causing only damage to the propellers.  It is determined the aircraft did not have GPS lock; due to quick startup and being adjacent to a large concrete structure.No GPS Signal and Wind / Environment",,,,"Government UAS pilot reported the UAS struck a parked vehicle during ascent.",
2227281,202503,1201-1800,CDW.Airport,NJ,,10,,2500,,,20,,Daylight,25000,,,Personal,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,1,Part 91,VFR,Training,,Cruise,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft / UAS,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Private,,,,,,2227281,,,,,,,,,,,,Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,Horizontal 1000,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"Flying at 2500' MSL northbound after departing CDW (Essex Cty); saw a medium-sized un-manned drone southbound in level flight; starting from my 1:00 and passed by.  That's it - just very surprised to see a drone at that altitude - originally thought it was a large bird but as I passed by saw it was clearly colored like a drone.",,,,"Small aircraft pilot reported an airborne conflict with a UAS while in cruise flight. No evasive action was taken.",
2227333,202502,0001-0600,AUN.Airport,CA,,4,,3500,,,,,,,,,,Any Unknown or Unlisted Aircraft Manufacturer,,1,,,,,Descent,,Class E NCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class E NCT,,,,,,,,,,,,,,,,,,,,Aircraft / UAS,,,,Aircraft X,Flight Deck,,Pilot Flying,,,,,,,2227333,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"I was the pilot in command descending out of 3;500' on the 45 into AUN.I saw what looked like a red ball coming at my right wing.  When it passed a few hundred feet below me; I saw that it was a drone.",,,,"Pilot reported an NMAC with a UAS during descent. No evasive action was taken.",
